Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5,10.0,270.0,top
C10,93.834,8.871999,90.0,top
C11,104.834,8.871999,90.0,top
C12,115.834,8.871999,90.0,top
C13,126.834,8.871999,90.0,top
C14,137.834,8.871999,90.0,top
C2,146.5,5.0,270.0,top
C3,16.834,8.871999,90.0,top
C4,27.834,8.871999,90.0,top
C5,38.834,8.871999,90.0,top
C6,49.834,8.871999,90.0,top
C7,60.834,8.871999,90.0,top
C8,71.834,8.871999,90.0,top
C9,82.834,8.871999,90.0,top
J1,152.3025,14.11,0.0,bottom
J2,8.6975,14.11,180.0,top
J3,72.58,55.0675,180.0,top
J4,143.885,55.0675,180.0,top
J5,155.0675,47.485,270.0,bottom
J6,4.9325,47.485,270.0,top
JP1,10.0,37.0,90.0,top
JP2,7.0,37.0875,90.0,top
JP3,149.0,37.0,90.0,top
JP4,153.0,37.0,90.0,top
JP5,13.794227,8.881192,90.0,top
JP6,15.294227,8.881192,90.0,top
K1,20.0,46.0,270.0,top
K10,31.0,37.0,270.0,top
K11,31.0,28.0,270.0,top
K12,31.0,19.0,270.0,top
K13,31.000001,46.0,270.0,bottom
K14,31.000001,37.0,270.0,bottom
K15,31.000001,28.0,270.0,bottom
K16,31.0,19.0,270.0,bottom
K17,42.0,46.0,270.0,top
K18,42.0,37.0,270.0,top
K19,42.0,28.0,270.0,top
K2,20.0,37.0,270.0,top
K20,42.0,19.0,270.0,top
K21,42.000001,46.0,270.0,bottom
K22,42.000001,37.0,270.0,bottom
K23,42.000001,28.0,270.0,bottom
K24,42.0,19.0,270.0,bottom
K25,53.0,46.0,270.0,top
K26,53.0,37.0,270.0,top
K27,53.0,28.0,270.0,top
K28,53.0,19.0,270.0,top
K29,53.000001,46.0,270.0,bottom
K3,20.0,28.0,270.0,top
K30,53.000001,37.0,270.0,bottom
K31,53.000001,28.0,270.0,bottom
K32,53.0,19.0,270.0,bottom
K33,64.0,46.0,270.0,top
K34,64.0,37.0,270.0,top
K35,64.0,28.0,270.0,top
K36,64.0,19.0,270.0,top
K37,64.000001,46.0,270.0,bottom
K38,64.000001,37.0,270.0,bottom
K39,64.000001,28.0,270.0,bottom
K4,20.0,19.0,270.0,top
K40,64.0,19.0,270.0,bottom
K41,75.0,46.0,270.0,top
K42,75.0,37.0,270.0,top
K43,75.0,28.0,270.0,top
K44,75.0,19.0,270.0,top
K45,75.000001,46.0,270.0,bottom
K46,75.000001,37.0,270.0,bottom
K47,75.000001,28.0,270.0,bottom
K48,75.0,19.0,270.0,bottom
K49,86.0,46.0,270.0,top
K5,20.000001,46.0,270.0,bottom
K50,86.0,37.0,270.0,top
K51,86.0,28.0,270.0,top
K52,86.0,19.0,270.0,top
K53,86.000001,46.0,270.0,bottom
K54,86.000001,37.0,270.0,bottom
K55,86.000001,28.0,270.0,bottom
K56,86.0,19.0,270.0,bottom
K57,97.0,46.0,270.0,top
K58,97.0,37.0,270.0,top
K59,97.0,28.0,270.0,top
K6,20.000001,37.0,270.0,bottom
K60,97.0,19.0,270.0,top
K61,97.000001,46.0,270.0,bottom
K62,97.000001,37.0,270.0,bottom
K63,97.000001,28.0,270.0,bottom
K64,97.0,19.0,270.0,bottom
K65,108.0,46.0,270.0,top
K66,108.0,37.0,270.0,top
K67,108.0,28.0,270.0,top
K68,108.0,19.0,270.0,top
K69,108.000001,46.0,270.0,bottom
K7,20.000001,28.0,270.0,bottom
K70,108.000001,37.0,270.0,bottom
K71,108.000001,28.0,270.0,bottom
K72,108.0,19.0,270.0,bottom
K73,119.0,46.0,270.0,top
K74,119.0,37.0,270.0,top
K75,119.0,28.0,270.0,top
K76,119.0,19.0,270.0,top
K77,119.000001,46.0,270.0,bottom
K78,119.000001,37.0,270.0,bottom
K79,119.000001,28.0,270.0,bottom
K8,20.0,19.0,270.0,bottom
K80,119.0,19.0,270.0,bottom
K81,130.0,46.0,270.0,top
K82,130.0,37.0,270.0,top
K83,130.0,28.0,270.0,top
K84,130.0,19.0,270.0,top
K85,130.000001,46.0,270.0,bottom
K86,130.000001,37.0,270.0,bottom
K87,130.000001,28.0,270.0,bottom
K88,130.0,19.0,270.0,bottom
K89,141.0,46.0,270.0,top
K9,31.0,46.0,270.0,top
K90,141.0,37.0,270.0,top
K91,141.0,28.0,270.0,top
K92,141.0,19.0,270.0,top
K93,141.000001,46.0,270.0,bottom
K94,141.000001,37.0,270.0,bottom
K95,141.000001,28.0,270.0,bottom
K96,141.0,19.0,270.0,bottom
R1,152.5,9.0,90.0,top
R2,12.0,14.0,180.0,top
R3,12.0,17.0,180.0,top
R4,12.0,15.5,180.0,top
R5,12.0,18.5,180.0,top
R6,12.0,20.0,180.0,top
R7,151.0,9.0,90.0,top
U1,149.0,5.0,90.0,top
U10,97.644,8.618,90.0,top
U11,108.644,8.618,90.0,top
U12,119.644,8.618,90.0,top
U13,130.644,8.618,90.0,top
U14,141.644,8.618,90.0,top
U2,149.0,10.0,90.0,top
U3,20.644,8.618,90.0,top
U4,31.644,8.618,90.0,top
U5,42.644,8.618,90.0,top
U6,53.644,8.618,90.0,top
U7,64.644,8.618,90.0,top
U8,75.644,8.618,90.0,top
U9,86.644,8.618,90.0,top
